,Year,MVP_Name
0,2003-04,Kevin Garnett
1,2004-05,Steve Nash
2,2005-06,Steve Nash
3,2006-07,Dirk Nowitzki
4,2007-08,Kobe Bryant
5,2008-09,LeBron James
6,2009-10,LeBron James
7,2010-11,Derrick Rose
8,2011-12,LeBron James
9,2012-13,LeBron James
10,2013-14,Kevin Durant
11,2014-15,Stephen Curry
12,2015-16,Stephen Curry
13,2016-17,Russell Westbrook
14,2017-18,James Harden
15,2018-19,Giannis Antetokounmpo
16,2019-20,Giannis Antetokounmpo
17,2020-21,Nikola Jokic
18,2021-22,Nikola Jokic
19,2022-23,Joel Embiid
