,SEASON,PLAYER,TEAM,FULL_NAME,PTS
0,2003-04,Kevin Garnett,MIN,Minnesota Timberwolves,24.2
1,2004-05,Steve Nash,PHX,Phoenix Suns,15.5
2,2005-06,Steve Nash,PHX,Phoenix Suns,18.8
3,2006-07,Dirk Nowitzki,DAL,Dallas Mavericks,24.6
4,2007-08,Kobe Bryant,LAL,Los Angeles Lakers,28.3
5,2008-09,LeBron James,CLE,Cleveland Cavaliers,28.4
6,2009-10,LeBron James,CLE,Cleveland Cavaliers,29.7
7,2010-11,Derrick Rose,CHI,Chicago Bulls,25.0
8,2011-12,LeBron James,MIA,Miami Heat,27.1
9,2012-13,LeBron James,MIA,Miami Heat,26.8
10,2013-14,Kevin Durant,OKC,Oklahoma City Thunder,32.0
11,2014-15,Stephen Curry,GSW,Golden State Warriors,23.8
12,2015-16,Stephen Curry,GSW,Golden State Warriors,30.1
13,2016-17,Russell Westbrook,OKC,Oklahoma City Thunder,31.6
14,2017-18,James Harden,HOU,Houston Rockets,30.4
15,2018-19,Giannis Antetokounmpo,MIL,Milwaukee Bucks,27.7
16,2019-20,Giannis Antetokounmpo,MIL,Milwaukee Bucks,29.5
17,2020-21,Nikola Jokic,DEN,Denver Nuggets,26.4
18,2021-22,Nikola Jokic,DEN,Denver Nuggets,27.1
19,2022-23,Joel Embiid,PHI,Philadelphia 76ers,33.1
