,SEASON,PLAYER,TEAM,FULL_NAME,PTS,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS_2,Age,W,L,Season
0,2003-04,Kevin Garnett,MIN,Minnesota Timberwolves,24.2,10.0,Minnesota Timberwolves,82,240.9,37.0,80.1,0.462,4.0,10.9,0.363,33.0,69.2,0.477,16.6,21.3,0.781,10.7,32.3,42.9,23.0,6.8,5.6,12.7,21.1,94.5,28.3,45.0,37.0,2003-04
1,2004-05,Steve Nash,PHX,Phoenix Suns,15.5,1.0,Phoenix Suns,82,241.2,40.9,85.6,0.477,9.7,24.7,0.393,31.2,60.9,0.512,19.0,25.4,0.748,11.8,32.3,44.1,23.5,7.0,5.5,13.7,19.1,110.4,28.5,59.0,23.0,2004-05
2,2005-06,Steve Nash,PHX,Phoenix Suns,18.8,1.0,Phoenix Suns,82,243.4,41.8,87.4,0.479,10.2,25.6,0.399,31.6,61.8,0.511,14.5,18.0,0.806,9.5,32.3,41.8,26.6,6.7,5.0,13.3,20.5,108.4,29.8,63.0,19.0,2005-06
3,2006-07,Dirk Nowitzki,DAL,Dallas Mavericks,24.6,9.0,Dallas Mavericks,82,240.9,36.7,78.6,0.467,6.5,17.1,0.381,30.2,61.4,0.491,20.1,24.9,0.805,11.2,30.7,41.9,19.9,6.8,5.0,13.9,22.4,100.0,26.5,45.0,37.0,2006-07
4,2007-08,Kobe Bryant,LAL,Los Angeles Lakers,28.3,4.0,Los Angeles Lakers,82,241.2,39.6,83.1,0.476,8.1,21.4,0.378,31.5,61.8,0.51,21.3,27.7,0.769,11.0,33.2,44.1,24.4,8.0,5.3,14.1,20.6,108.6,25.3,54.0,28.0,2007-08
5,2008-09,LeBron James,CLE,Cleveland Cavaliers,28.4,13.0,Cleveland Cavaliers,82,241.2,36.9,78.7,0.468,8.0,20.4,0.393,28.9,58.3,0.495,18.6,24.5,0.757,10.8,31.4,42.2,20.3,7.2,5.3,12.7,20.3,100.3,28.2,49.0,33.0,2008-09
6,2009-10,LeBron James,CLE,Cleveland Cavaliers,29.7,9.0,Cleveland Cavaliers,82,241.2,37.8,77.9,0.485,7.3,19.3,0.381,30.5,58.6,0.52,19.1,26.6,0.72,9.6,32.8,42.5,22.4,6.9,5.2,13.9,19.4,102.1,29.4,50.0,32.0,2009-10
7,2010-11,Derrick Rose,CHI,Chicago Bulls,25.0,20.0,Chicago Bulls,82,241.8,37.1,80.3,0.462,6.2,17.3,0.361,30.9,63.1,0.489,18.2,24.5,0.743,11.8,32.4,44.2,22.3,7.2,5.7,14.2,20.0,98.6,26.8,39.0,43.0,2010-11
8,2011-12,LeBron James,MIA,Miami Heat,27.1,7.0,Miami Heat,66,243.0,37.1,79.0,0.469,5.6,15.6,0.359,31.5,63.4,0.496,18.8,24.2,0.775,10.4,31.2,41.6,20.0,8.9,5.4,15.2,19.4,98.5,26.3,42.0,24.0,2011-12
9,2012-13,LeBron James,MIA,Miami Heat,26.8,5.0,Miami Heat,82,242.4,38.4,77.4,0.496,8.7,22.1,0.396,29.6,55.4,0.536,17.4,23.0,0.754,8.2,30.4,38.6,23.0,8.7,5.4,13.9,18.7,102.9,26.1,57.0,25.0,2012-13
10,2013-14,Kevin Durant,OKC,Oklahoma City Thunder,32.0,5.0,Oklahoma City Thunder,82,241.5,39.0,82.7,0.471,8.1,22.4,0.361,30.9,60.3,0.512,20.2,25.0,0.806,10.8,33.9,44.7,21.9,8.3,6.1,15.3,22.7,106.2,26.3,51.0,31.0,2013-14
11,2014-15,Stephen Curry,GSW,Golden State Warriors,23.8,1.0,Golden State Warriors,82,240.6,41.6,87.0,0.478,10.8,27.0,0.398,30.8,60.0,0.514,16.0,20.8,0.768,10.4,34.3,44.7,27.4,9.3,6.0,14.5,19.9,110.0,26.6,67.0,15.0,2014-15
12,2015-16,Stephen Curry,GSW,Golden State Warriors,30.1,1.0,Golden State Warriors,82,242.4,42.5,87.3,0.487,13.1,31.6,0.416,29.4,55.7,0.528,16.7,21.8,0.763,10.0,36.2,46.2,28.9,8.4,6.1,15.2,20.7,114.9,30.3,67.0,15.0,2015-16
13,2016-17,Russell Westbrook,OKC,Oklahoma City Thunder,31.6,11.0,Oklahoma City Thunder,82,241.5,39.5,87.4,0.452,8.4,25.8,0.327,31.0,61.6,0.504,19.2,25.8,0.745,12.2,34.4,46.6,21.0,7.9,5.0,15.0,20.9,106.6,24.7,47.0,35.0,2016-17
14,2017-18,James Harden,HOU,Houston Rockets,30.4,2.0,Houston Rockets,82,240.9,38.7,84.2,0.46,15.3,42.3,0.362,23.4,41.9,0.558,19.6,25.1,0.781,9.0,34.5,43.5,21.5,8.5,4.8,13.8,19.5,112.4,25.8,59.0,23.0,2017-18
15,2018-19,Giannis Antetokounmpo,MIL,Milwaukee Bucks,27.7,1.0,Milwaukee Bucks,82,241.2,43.4,91.1,0.476,13.5,38.2,0.353,29.9,52.9,0.565,17.9,23.2,0.773,9.3,40.4,49.7,26.0,7.5,5.9,13.9,19.6,118.1,26.9,60.0,22.0,2018-19
